2b	W11
學號	
40123158	出席
40123252	
40223233	
40423201	出席
40423202	出席
40423203	出席
40423204	
40423205	出席
40423206	
40423207	出席
40423208	
40423209	
40423210	出席
40423211	出席
40423212	出席
40423213	
40423214	出席
40423216	出席
40423217	出席
40423218	
40423219	
40423220	
40423221	
40423222	出席
40423223	出席
40423224	
40423225	
40423226	出席
40423228	出席
40423229	出席
40423231	出席
40423232	出席
40423233	
40423234	
40423235	出席
40423236	出席
40423237	出席
40423239	出席
40423240	出席
40423241	出席
40423242	
40423243	出席
40423244	
40423245	出席
40423246	出席
40423247	
40423248	出席
40423249	
40423250	出席
40423251	出席
40423252	
40423253	
40423254	出席
40439221	
